City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
75,Ouesso,CG,2022-11-17 01:30:40,1.6136,16.0517,69.35,98,99,2.19
76,Nantucket,US,2022-11-17 01:30:41,41.2835,-70.0995,48.31,77,100,13.8
77,Cidreira,BR,2022-11-17 01:29:30,-30.1811,-50.2056,66.97,59,0,4.7
78,Roald,NO,2022-11-17 01:30:41,62.5833,6.1333,51.94,32,100,18.41
79,Traverse City,US,2022-11-17 01:27:43,44.7631,-85.6206,30.4,93,100,3.44
80,Marovoay,MG,2022-11-17 01:30:41,-16.1,46.6333,73.78,85,86,4.76
81,Tambopata,PE,2022-11-17 01:30:42,-12.7333,-69.1833,74.32,90,96,2.59
82,Dikson,RU,2022-11-17 01:30:42,73.5069,80.5464,1.38,94,100,16.91
83,Hermanus,ZA,2022-11-17 01:30:42,-34.4187,19.2345,52.81,72,99,4.59
84,Carnarvon,AU,2022-11-17 01:30:43,-24.8667,113.6333,68.4,51,91,15.5
85,Aras,ES,2022-11-17 01:30:43,42.5617,-2.356,59.43,93,0,1.14
86,Bambous Virieux,MU,2022-11-17 01:30:43,-20.3428,57.7575,70.05,78,40,3.44
87,Birjand,IR,2022-11-17 01:30:43,32.8663,59.2211,41.47,33,0,9.22
88,Hambantota,LK,2022-11-17 01:31:44,6.1241,81.1185,73.74,100,20,2.3
89,Mashhad,IR,2022-11-17 01:31:44,36.297,59.6062,41.14,81,0,4.61
90,Malindi,KE,2022-11-17 01:31:45,-3.2175,40.1191,76.03,86,100,1.86
91,Khatanga,RU,2022-11-17 01:31:45,71.9667,102.5,-30.39,100,94,5.23
92,Birao,CF,2022-11-17 01:31:45,10.2849,22.7882,67.55,35,61,5.84
93,Tasiilaq,GL,2022-11-17 01:31:45,65.6145,-37.6368,35.76,83,99,26.44
94,Dinhata,IN,2022-11-17 01:31:46,26.1333,89.4667,68.29,75,0,5.53
95,Calama,CL,2022-11-17 01:31:46,-22.4667,-68.9333,64.89,24,0,11.5
96,Paita,PE,2022-11-17 01:31:46,-5.0892,-81.1144,64.99,84,85,14.27
